Applicant Details,,"Eligibility Criteria
Decision Box – Eligibility
application_472_bundle.zip,Applicant_472,MSEA/1847 ,Embu ,Edible Oils,Self-reported turnover/profit ,759117081,Pass,All eligibility criteria met. Legally registered MSME Association (MSEA/1847) in a priority value chain (Edible Oils/Apiculture). Provided self-reported financial data and contact details. Proceeds to scoring.,4,"Registered for ~1 year (May 2023). Clear governance structure (Chairperson, Secretary, Treasurer). Demonstrated growth in membership (0→38→45) and employees (0→2→4).",2,"Low turnover (<1M KES). Self-reported figures show growth (250K→850K) but lack verification from bank statements. Profit margins reported at 100%, indicating simplified accounting. Relies on a projected budget, not historical evidence of financial stability.",3,"Regular local B2C sales to community and retailers. Unique selling point of organic honey from pristine forest area provides quality differentiation. However, sales are local, channels are limited (no e-commerce), and no formal offtake agreements or purchase orders are presented.",3,"Clear objective to procure processing machinery and obtain KeBS certification. Identifies target markets (supermarkets, exporters). Plan is relevant but lacks specific, time-bound execution steps, a detailed budget for investments, and a robust risk mitigation strategy.",4,"Active in priority Edible Oils VC (Apiculture). Engaged in aggregation, refining, packaging, and marketing. Also involved in input provision (own hives) and environmental programs, demonstrating clear backward and forward integration beyond basic farming.",4,"Good gender inclusion (13 female members). Strong environmental focus with clear, actionable sustainable practices: establishing climate-resilient pollinator corridors and a plan to plant 10,000 trees. Actively creates jobs (4 employees). Lacks youth membership (0 aged 18-35).",,Tier 2,80,40,60,60,80,80,8,8,12,15,12,8,63,0,63,230,Papa
application_473_bundle.zip,Applicanht 473,CS/29156,Kericho,Dairy,Statement of cash flows,728660022,Fail,Invalid financial records,4,registered for two years now,3,Turnover 1–&lt;5M;,3,consistent sales,3,Direction clear,3,"Strongly aligned to the Dairy Value Chain, focusing on production",5,strong gender participation,P1,,80,60,60,60,60,100,8,12,12,15,9,10,66,5,61,250,
application_474_bundle.zip,Application 474,PVT-PJULP3G,Meru,Edible Oils,Statement of cash flows,721580715,Pass,All documents presented,4,Clear management,4,Solid financial performance for MSME cluster,5,Clear competitors identified,5,Well-documented BDS needs & growth strategy.,5,Fully aligned,5,Woman-owned,,Tier 1,80,80,100,100,100,100,8,16,20,25,15,10,94,0,94,11,Laureen
application_475_bundle.zip,Applicantion 475,SS/LM/CBO/MPK/VOL.I/038,Lamu,Edible Oils,Bank statement,708006569,Fail,Financial statement is not recent,5,Registered for 9 years,0,No financials for last 12 months,5,Integrated value chain (edible oils + animal feeds) and B2C/B2B market coverage; e-commerce sales and clear market growth plans.,4,Implementation risk if external funding/support is delayed; reliance on seasonal supply of raw materials.,5,Full value chain participation from procurement → processing → by-product utilization → sales,4,Strong women/youth inclusion; multiple green initiatives implemented.,,Tier 1,100,0,100,80,100,80,10,0,20,20,15,8,73,0,73,137,
application_476_bundle.zip,Applicantion 476,Cs/19227,Wajir,Construction,Cash based books,718189192,Fail,Less financial evidence,2,Registered but irregular governance.,1,Thin evidence.,0,No market evidence.,1,Aspirational,0,No linkages or nodes mentioned.,1,No green practices.,,,40,20,0,20,0,20,4,4,0,5,0,2,15,0,15,514,
application_477_bundle.zip,Application 477,BN-GVC7LMK,Kakamega,Dairy,Bank statement,717443073,Pass,Registered with all documents provided,5,registered>3yrs,1,Thin evidence,0,no market evidence,3,direction clear,3,weak linkages,5,>30% women in leadership and more than 2 green practices,P1,,100,20,0,60,60,100,10,4,0,15,9,10,48,5,43,430,
application_478_bundle.zip,Application 478,CS/12-378,Meru,Textile,Cash book,720921237,Fail,Invalid financial records,5,Legally registered and operating for 3 years ,0,Financial document given is empty ,4,Active local and large scale customers ,4,"Clear goals,clear customer,clear risks but no budget allocated ",0,Deals with cotton farming and processing of clothes,4,50&  members are women with over 50& youths and use of green practices such as recycling the clothes cuts ,,Tier 1,100,0,80,80,0,80,10,0,16,20,0,8,54,0,54,327,
application_479_bundle.zip,Application 479,PVT-KAUZ9PBZ,Homa Bay,Construction,Bank statements,705299482,Pass,All documents presenteed,4,Legally registered,5,Strong revenues,4,Faces competition from foreign firms,4,Ambitious growth plan,4,Aligned to construction sector,4,Balanced gender,,Tier 2,80,100,80,80,80,80,8,20,16,20,12,8,84,0,84,59,Laureen
application_480_bundle.zip,Application 480,CS/23469,Kiambu,Dairy,Statements of cash flows,711977780,Fail,Less financial evidence,4,registered for more than 6 years,2,turnover less than 1M,3,regular local sales,3,Clear direction,3,"Strongly aligned to the Dairy Value Chain, focusing on production",2,more than 50% are males with moderate inclusion,P1,,80,40,60,60,60,40,8,8,12,15,9,4,56,5,51,358,
application_481_bundle.zip,Application 481,PVT-8LULVJ6,Meru,Edible Oils,"Balanced sheet, bank statements and mpesa statements",721623434,Fail,Invalid financial records,5,Legally registered and operating for 3 years ,0,The applicant gave a blank balance sheet ,4,"Multiple strong channels,some branding but no mention of signed buyers contract yet",5,"Excellent problem -solution alignment,smart targets, investment and training strategy ",5,"Fills a key processing node(processing peanuts, cashew, and macadamia), strong upstream (sources from local small holder farmers) and downstream integration (B2B and B2C sales,product transformation.",5,"A women owned enterprise,4/5 members are youths , macadamia tree planting, green energy adoption,waste reuse",,Tier 2,100,0,80,100,100,100,10,0,16,25,15,10,76,0,76,119,
application_482_bundle.zip,Application 482,PVT-6LUK3BQ,Nairobi,Other,Bank statements,714583491,Fail," Out of scaope value chain in that Lynts Limited operates within the food manufacturing sector, specializing in the production of high-quality plantain chips
 under the brand &quot",5,"The cooperative is registered , has structured leadership positions (Chairperson, Secretary, Treasurer, Manager), and has operated long enough",3,Reported turnover rose significantly showing active transactions.,3,"The cooperative has consistent monthly orders from Brookside and Murang’a County Creameries (B2B 90%), plus 10% retail sales.",3,"The proposal is solid: aims to expand milk intake by 1,000L/month, acquire pasteurizer and generator, move into UHT milk, and use solar energy.",2,"aligned to dairy value chain, a priority VC, and plays a critical node in aggregation, chilling, and partial processing.",3,"Women make up 90 of 161 members (~56%), showing strong gender inclusion",,Tier 1,100,60,60,60,40,60,10,12,12,15,6,6,61,0,61,250,
application_483_bundle.zip,Application 483,No. 16432,Nairobi,Other,Bank statements,722677522,Fail,"Out of scope value chain because the Kamukunji Jua Kali Association is a hub of micro and small-scale manufacturers primarily engaged in metal
 fabrication",5,Fully registered MSME association,3,Solid turnover but likely overstated 2024 figure,3,"Good local sales and tender participation, limited export formalization",2,"The plan is comprehensive and well-structured: clear objectiv  annual growth), quantified targets, detailed investment roadmap",3,Operates in metal fabrication – fits under manufacturing/construction,3,"50% owned by women (3 out of 6 members), and the CEO is a woman. ",,Tier 1,100,60,60,40,60,60,10,12,12,10,9,6,59,0,59,272,
application_484_bundle.zip,Applicati9on 484,BTR/DSS/SHG/9593/2015,Kakamega,Dairy,Bank statements,725169834,Pass,All documents processed,3,"Formally registered since 2015, but weak professional track record",2,"Records inconsistent, profit margins unrealistic (likely poor bookkeeping)",3,"Competes on price/freshness only, weak against packaged milk firms",3,"Ambitious, but lacks realistic roadmap and capital",2,"Only production + local sales, no processing, no contracts",4,Tree planting & conservation practices are commendable,,Tier 1,60,40,60,60,40,80,6,8,12,15,6,8,55,0,55,320,Laureen
application_485_bundle.rar,Application 485,893,Nakuru,Textile,Locked Mpesa Statements,795372236,Fail,Locked Mpesa Statements; cant verify financials,4,"Active since at least 2022, with stable membership (15–18 members)",0,Submitted locked Mpesa statement,3,Regular local sales; one channel; emerging quality practices,4,Strong plan with minor gaps; targets & timelines present,5,Priority VC; fills a critical node (processing / aggregation); documented linkages upstream & downstream,5,≥50% youth participation; ≥2 green practices,,Tier 2,80,0,60,80,100,100,8,0,12,20,15,10,65,0,65,206,
application_486_bundle.zip,Application 486,CPR/2015/196185,Kisumu,Construction,Bank statements,722940308,Fail,Invalid financial records,5,"Long-standing private company (since 2015) with structured leadership and verified registration. Meets “≥3 yrs, structured governance",1,Thin financial evidence; minimal/irregular transactions,3,Active firm with structured client mix (corporate + individual). Competes nationally and regionally,4,"Strong, coherent business outlook emphasizing sustainability and modernization. Not fully costed but demonstrates structured strategy.",4,Partially aligned to construction VC,4,Demonstrates gender parity and sustainability commitment (multiple green initiatives).,,Tier 2,100,20,60,80,80,80,10,4,12,20,12,8,66,0,66,200,
application_487_bundle.zip,Application 487, PVT-KAUD6L7V,Kisumu ,Other,Cash based books,716695614,Fail,Out of scope value chain  because JOH LTD is a food and organic waste processing startup,4,Registered private company with a clear operational base,1,"Thin finacial evidence, irregular transactions",3,"Engages hotels and municipal waste systems for supply and sells compost to farmers. However, marketing strategy is basic (“use of social media”) and lacks formalized partnerships or proven market traction",4,Srong plan with minor gaps,0,Out of scope value chain  because JOH LTD is a food and organic waste processing startup,3,"strong youth inclusion (100%), minimal gender balance (6 males, 1 female). Sustainability practices are strong — circular economy in organic waste management — but no mention of PWD inclusion",,Tier 2,80,20,60,80,0,60,8,4,12,20,0,6,50,0,50,370,
application_488_bundle.zip,Application 488,LIK/shg/ 192/2022,Kakamega,Other,Bank statements,790315408,Fail,Out of scope value chain because they mainly keep sheep for meat wool and skin.,4,documented leadership;,5,Turnover ≥ KES 10M;,4,Consistent monthly orders; growing channels,5,Clear problem–solution; quantified targets;,4,Priority VC; clear node participation; some linkages.,4,Priority VC; clear node participation; some linkages.,DQ1,,80,100,80,100,80,80,8,20,16,25,12,8,89,#N/A,0,520,
application_489_bundle.zip,Application 489,DSD/37/207/01/64439,Kakamega,Dairy,Bank statements,719576359,Pass,All documents processed,3,Formally registered MSME Association,2,Reported turnover,3,Direct sales 100% B2C,3,"Clear plans for land, infrastructure, value addition",3,Active in production and direct selling,4,Balanced gender membership,,Tier 1,60,40,60,60,60,80,6,8,12,15,9,8,58,0,58,284,Laureen
application_490_bundle.zip,Appli8cation 490,BN-2RCYQ759,Makueni,Other,Mpesa statement,792132157,Fail,Out of scope value chain for it mainly practices farming and selling of maize and green grams. ,4,"legally registered,operated less than more than 2 years less than 3 years",2,Growing turn over(600k-1M),3,Regular local sales to schools/hospitals and community ,4,clear goals ,0,Not in priority VC but has processing potential ,4,"55& women,youths involvement,tree planting ",,Tier 1,80,40,60,80,0,80,8,8,12,20,0,8,56,0,56,303,
application_491_bundle.zip,Application 491,CS/1551,Kericho,Dairy,Bank statements,726444488,Pass,All documents processed,4,Formally registered cooperative with 7+ years of operations,4,Turnover rising (3.1M → 3.4M → 4.2M) with positive profits,3,Competes with Brookside and New KCC but leverages fresh milk,3,"Plans include milk coolers, pasteurizers, and processing expansion,",5,Strong dairy alignment with integrated chain from farmers to consumer-level processing.,4,180 members with significant youth and women participation; promotes tree planting & biogas.,,Tier 1,80,80,60,60,100,80,8,16,12,15,15,8,74,0,74,130,Laureen
application_492_bundle.zip,Application 492,9719,Kirinyaga,Construction,Mpesa statement,716824165,Fail,Mpesa statement cannot be accessed,4,"Registered for over 1 year with functioning leadership and growing membership, but limited evidence of structured governance documentation.",0,Financial statements unverifiable; password protected,4,"Consistent orders, existing buyers, and plans to diversify market; currently single channel but steady.",4,"Solid, practical growth plan with clear operational goals and realistic needs.",4,"Strong role within a key node (production/training), though limited formal linkages",4,Strong inclusivity and advanced sustainability practices aligned with CSTF objectives.,,Tier 1,80,0,80,80,80,80,8,0,16,20,12,8,64,0,64,219,
application_493_bundle.zip,Application 493,RA-M7S5JM,Nairobi,Other,"Balanced sheet, bank statements, income statemens and mpesa statements",720461089,Fail,"Out of scope value chain because it covers multiple steps – design, manufacturing (partly outsourced), assembly, finishing, and installation",3,"The organization is a registered MSME Association  with a functioning structure (Chairperson, Secretary, Treasurer) but for less than 1 year .",2,"Turnover is less than 1 m. They use QuickBooks, indicating formal accounting system",3,"The cooperative has multi-channel sales: 70% B2B (developers, corporates, government), 20% B2C (showroom, exhibitions), and 10% exports.",3,"The plan is comprehensive and well-structured: clear objectives (30% annual growth), quantified targets, detailed investment roadmap",2,The plan is comprehensive and well-structured with  clear objectives,3,50% women ownership and female CEO show gender inclusion. but the youts are minimal,,Tier 1,60,40,60,60,40,60,6,8,12,15,6,6,53,0,53,332,
application_494_bundle.zip,Application_494,PVT-AAABD13,Kisumu,Other,Income Statements,723463896,Fail,"Out of scope value chain beacuse they  support different functions, components and actors along the value chains. Some of our services/activities
 include:-value chain mapping, assessment analysis and upgrading.",5,"Fully registered and operational for several years, credible national and international clientele, clear leadership",0,No verifiable financial evidence; tax certificate attached instead,5,Proven market reach with international clients; repeat contracts across multiple projects and value chains.,4,Clear business direction and review system; measurable targets but no detailed costing provided.,0,"Out of scope value chain beacuse they  support different functions,",4,"≥50% women and youth; demonstrates green practices through circular, blue, and green economy initiative",,Tier 2,100,0,100,80,0,80,10,0,20,20,0,8,58,0,58,284,
application_495_bundle.zip,Application_495,CPR/2011/59892,Laikipia,Construction,Income Statements,725982293,Pass,All documents presented,5,Operating since 2011; established structure with management team,4,Consistently profitable but still medium scale.,4,"Strong market presence, competitive pricing, proximity to trunk road",4,"Plans to expand to Isiolo, invest in own equipment, target KENHA, reduce costs by 30%.",3,Relevant participation but not highly integrated cluster model,3,Good youth participation and green initiatives; gender inclusivity moderate.,,Tier 1,100,80,80,80,60,60,10,16,16,20,9,6,77,0,77,111,Laureen
application_496_bundle.zip,Application_496,C/S 1142,Nyeri,Dairy,Income Statements,720431144,Fail,Income statement is not clear,5,Registered ≥3 yrs; functioning governance,0,Income statement is not clear,2,Consistent monthly orders; growing channels,3,Clear problem–solution; quantified targets;,0,Out of priority of value chain,3,50% women; at least 1–2 sustainable practice,,Tier 1,100,0,40,60,0,60,10,0,8,15,0,6,39,0,39,460,
application_497_bundle.zip,Applicant_497,RA-KGSMPV,Nairobi,Other,Bank statement and mpesa,769770000,Fail,Does not fall under the listed priority or additional value chains.,2,"Registered MSME Association  active since ≥2025. Clear leadership (Chair, Secretary, Treasurer). Regular operations",0,fraudulent financial record,3,Stable B2B (50%) and B2C (50%) channels. Active on Glovo & Uber Eats;,3,"Clear plan for second outlet, digitization, delivery bikes, and supermarket-ready meals.",2,Operates in food processing/restaurant services,4,40% women ownership; female CEO; ≥30% women in board  meets woman-owned enterprise criteria. 73% youth (8/11 aged 18–35,,Tier 2,40,0,60,60,40,80,4,0,12,15,6,8,45,0,45,414,
application_498_bundle.zip,Applicant_498,ASS-64A3011,Machakos,Construction,Bank statement and mpesa,712466557,Fail,Regestration Legality (No valid registration details),4,Registered for 1 year,2,Sporadic records,3,"B2B sales dominate (95%), minimal B2C (5%), no digital presence.",3,detailed costed budget or phased implementation unclear.,3,weak linkages; potential to upgrade,3,Moderate inclusivity; basic green initiatives.,,Tier 2,80,40,60,60,60,60,8,8,12,15,9,6,58,0,58,284,
application_499_bundle.zip,Applicant_499,CS/13595,Bungoma,Dairy,No financial evidence,740511637,Fail,"No financial evidence(no way to verify turnover, revenues, expenses, or financial health.)",4,Registered since 2011 with basic structure,0,No financial evidence,3,Regular local sales ,2,Vague plan with few targets and unclear resourcing,4,"Clear node participation with even processing involved, however, linkages are not clearly defined",4,Above 50% of members are women. One sustainable practice in place,,,80,0,60,40,80,80,8,0,12,10,12,8,50,0,50,370,
application_500_bundle.zip,Applicant_500,ASS-822F200,Mombasa,Other,Balance Sheet,725929621,Fail,Waste Managment and Recycling does not fall under the listed priority or additional value chains.,4,"Active since 2021, with growing membership (~30 individuals).",4,"Audited-style statements ( turnover 474 k, profit 34 k )",4,Demand for waste collection & organic fertilizer,4,Expansion plan with targets,0,Not in any priority VC,5,"Youth / women leadership, multiple green practices",,Tier 1,80,80,80,80,0,100,8,16,16,20,0,10,70,0,70,166,
application_501_bundle.zip,Applicant_501, P051977406R,Taita Taveta,Dairy,Bank statement ,711232724,Pass,All Requirements met,5,functioning governance and audited handover(s).,1,Minimal/irregular transactions;,2, Intermittent sales; weak channels; limited differentiation.,2," Vague plan; limited targets; unclear resourcing.
",3, weak linkages; potential to upgrade.,3, Moderate inclusion; some intent on sustainability,,Tier 1,100,20,40,40,60,60,10,4,8,10,9,6,47,0,47,395,Emmanuel
application_502_bundle.zip,Applicant_502,CS/22724,Laikipia,Dairy,Balance sheet,729645599,Pass,All Requirements met,5,≥3 yrs; functioning governance,3,Turnover 1–<5M; stable or recovering,3,Regular local sales; one channel; emerging quality practices.,3,Direction clear; targets generic; budget rough.,3, Priority VC; weak linkages; potential to upgrade.,3, Moderate inclusion; some intent on sustainability.,,Tier 1,100,60,60,60,60,60,10,12,12,15,9,6,64,0,64,219,Emmanuel
application_503_bundle.zip,Applicant_503,PVT-Q7U97VKG,Kajiado,Edible Oils,Mpesa statement,707296921,Fail,Fraudulent Mpesa statement(Diffrent companies same mpesa statement),4," 1–3 yrs; documented leadership; meeting cadence.
",2,Turnover <1M; sporadic records.,2, Intermittent sales; weak channels; limited differentiation.,3,Strong plan with minor gaps; targets & timelines present.,4,clear node participation; some linkages.,4,Strong gender/youth participation,,Tier 2,80,40,40,60,80,80,8,8,8,15,12,8,59,0,59,272,
application_504_bundle.zip,Applicant_504,PVT-BEUEYVJR,Kajiado,Edible Oils,Mpesa statement,721161603,Fail,Fraudulent Mpesa statement(Diffrent companies same mpesa statement),3,<1yr registration,1,thin evidence,3,regular local sales,3,clear but generic direction,2,peripheral role,5,>30% woman leadership and more than 2 green practices,,,60,20,60,60,40,100,6,4,12,15,6,10,53,0,53,332,
application_505_bundle.zip,Applicant_505,BN-35CP9DR,Makueni,Other,Mpesa statement,701283215,Fail,medical clinic and chemist is out of scope in value chain,5,Legally registered company operational more than 3 years with growing staffs,2,Turn over of KES 8M-12M but no verified documents ,4,Steady local demand with recognised competitors ,4,Clear expansion plan(X-ray and Doppler machines) coated and job creating ,0,Not in priority VC,5,"83& women,youth-led all below 35 high hygiene and ethics ",,Tier 2,100,40,80,80,0,100,10,8,16,20,0,10,64,0,64,219,
application_506_bundle.zip,Applicant_506,BN/2015/378643,Homa Bay,Blue Economy,Mpesa statement,757157333,Pass,All Requirements met,4, 1–3 yrs; documented leadership; meeting cadence.,1,Minimal/irregular transactions; thin evidence.,3,Regular local sales; one channel; emerging quality practices.,3,Direction clear; targets generic; budget rough.,3,weak linkages; potential to upgrade.,2, Low inclusion; ad-hoc green steps.,P1,Tier 2,80,20,60,60,60,40,8,4,12,15,9,4,52,5,47,395,Emmanuel
application_507_bundle.zip,Applicant_507,PVT-GYU58VZL,Mombasa,Textile,Mpesa and Bank statement,790673085,Pass,All Requirements met,3, basic structure in place,2,sporadic records.,3,Regular local sales; one channel; emerging quality practices.,3,Direction clear; targets generic; budget rough.,3,weak linkages; potential to upgrade.,4, Strong gender/youth participation; 1–2 green practices.,,Tier 2,60,40,60,60,60,80,6,8,12,15,9,8,58,0,58,284,Emmanuel
application_508_bundle.zip,Applicant_508,DSD/37/208/01/51205,Kakamega,Other,Bank statement,725582890,Fail,Out of scope in value chain(dairy farming with direct milk sales does not qualify under “Dairy (excluding farming),3,documented leadership;,1,minimal transaction,2,intermittent sales,3,Direction clear; targets generic;,3,potential to upgrade,4,Strong gender/youth participation; 1–2 green practices.,DQ1,,60,20,40,60,60,80,6,4,8,15,9,8,50,#N/A,0,520,
application_509_bundle (1).zip,Applicant_509,6977,Homa Bay,Edible Oils,No financial evidence,719577608,Fail,No any  valid financial evidence,5,has been legally registered for more than 4 years,0,No financial evidence,4,there is proof of different channels of sale including digital marketing,4,strong minor gaps,5,priority VC with up&downstream linkages.,4,there strong gender inclusivity and aspects of sustainability,,Tier 2,100,0,80,80,100,80,10,0,16,20,15,8,69,0,69,173,
application_510_bundle.zip,Applicangt_510,BTR/DSS/SHG/15339/2021,Kakamega,Other,Bank statement,727886503,Fail,Out of scope in value chain(dairy farming with direct milk sales does not qualify under “Dairy (excluding farming),1,uncler registration,1,minimal transaction,2,Intermittent sales;,2,Vague plan;,3,potential to upgrade.,3,Moderate inclusion;,DQ1,Tier 1,20,20,40,40,60,60,2,4,8,10,9,6,39,#N/A,0,520,
application_511_bundle.zip,Applicant_511,PVT-7LU5ZK6L,Kisumu,Other,Bank statement,795523227,Fail, Computer Training is out of scope in value chain,4,Formally registered private company (PVT-7LU5ZK6L); legally operational; clear evidence of structured services since 2022 though limited operational history (<3 years),1,Thin financial evidence; irregular transactions,3,Demonstrates existing and growing demand for community-based ICT training; 150+ annual learners target and partnerships with schools and rehabilitation centers indicate local relevance but limited regional reach.,3,"defined objectives and measurable targets (training reach, partnerships, and 20% annual revenue growth); lacks a detailed financial growth plan or structured expansion costing.",0, Computer Training is out of scope in value chain,4,"Gender balance evident (40% women, 60% men); strong youth inclusion (majority aged 18–35); sustainability practices include energy conservation, recycling, and solar adoption planning",,Tier 2,80,20,60,60,0,80,8,4,12,15,0,8,47,0,47,395,
application_512_bundle.zip,Applicant_512,141113,Wajir,Construction,Invalid Balance sheet,725022864,Fail,Invalid financial statement,2,Registered but irregular governance.,1,Thin evidence.,0,No market evidence.,2,Vague plan.,0,Not a priority VC.,1,No green practices.,P1,,40,20,0,40,0,20,4,4,0,10,0,2,20,5,15,514,
application_513_bundle.zip,Applicant_513, BTL/CD/HKCB/CBO/800819,Busia,Textile,Balance sheet,726410740,Pass,All Requirements met,5,≥3 yrs; functioning governance,2,sporadic records,3,Regular local sales,3,Direction clear; targets generic; budget rough.,2,Peripheral role; unclear node.,3,Peripheral role; unclear node.,,Tier 1,100,40,60,60,40,60,10,8,12,15,6,6,57,0,57,296,Emmanuel
application_514_bundle.zip,Applicant_514, CS/14658,Nandi,Other,Balance sheet,714186250,Fail,Out of scope in value chain,5,Fully registered cooperative operating for several years with documented leadership:,3,"Turnover KES less than 3M  profitability remains positive. Uses QuickBooks, confirming structured bookkeepin",2,Offers low-interest loan consistent demand base. Market limited to internal membership ,3,"Business objectives clearly defined  expansion of loan capacity, purchase of land, and rental construction",0,Out of scope of value chain ,3,Highly inclusive: women  and  youth-led management.,,Tier 1,100,60,40,60,0,60,10,12,8,15,0,6,51,0,51,358,
application_515_bundle.zip,Applicant_515, PVTLUMLXP,Busia,Construction,Bank Statement,726232188,Pass,All Requirements met,5, functioning governance ,2, sporadic records,3, Regular local sales; one channel; emerging quality practices,3, Direction clear,2, Peripheral role,4,Strong gender/youth participation,,Tier 2,100,40,60,60,40,80,10,8,12,15,6,8,59,0,59,272,Emmanuel
application_516_bundle (1).zip,Applicant_516, P051663127C,Turkana,Construction,"No valid statement, requires access",728883383,Fail,Invalid  registration and Submitted locked Mpesa statement,0,Submitted KRA pin not registration certificate,0,Submitted locked Mpesa statement,4,"Broad customer base (government, NGOs, individuals) and consistent demand for construction materials.",3,Has clear goals but missing structured milestones and budget details.,5,Fully aligned to the Construction VC — performs essential midstream procurement and distribution functions.,5,Strong gender/youth inclusion and multiple verifiable sustainable practices.,,Tier 1,0,0,80,60,100,100,0,0,16,15,15,10,56,0,56,303,
application_517_bundle.zip,Applicant_517,PVT/2016/006377,Kakamega,Construction,Bank Statement,727656762,Pass,All Requirements met,5, functioning governance ,2,"Turnover <1M; sporadic records.
",1,Sporadic sales; no channels; untested products,1,Aspirational; no plan/targets,0,Not in priority VC.,3,Moderate inclusion; some intent on sustainability.,,Tier 2,100,40,20,20,0,60,10,8,4,5,0,6,33,0,33,483,Emmanuel
application_518_bundle.zip,Applicant_518,CS/26579,Kajiado,Other,Balance sheet,703697966,Fail,Out of scope in value chain,5,registered over 3yrs,2,Turnover<1M,4,consistent sales ,5,quantified targets,4,clear node participation,4,moderate inclusion but more than 2 green practices,,,100,40,80,100,80,80,10,8,16,25,12,8,79,0,79,93,
application_519_bundle.zip,Applicant_519,BTR/DSS/SHG/9962/2016,Kakamega,Dairy,Bank Statement,739185387,Fail,Out of scop(e in value chain(dairy farming with direct milk sales does not qualify under “Dairy (excluding farming),5, functioning governance ,2,Turnover <1M; sporadic records,2, Intermittent sales; weak channels; limited differentiation.,2,Vague plan; limited targets; unclear resourcing,2,Peripheral role; unclear node,2,Low inclusion,P1,Tier 1,100,40,40,40,40,40,10,8,8,10,6,4,46,5,41,446,
application_520_bundle.zip,Applicant_520,BTR/DSS/SHG/16175/2022,Kakamega,Dairy,Bank Statement,715124202,Fail,Out of scop(e in value chain(dairy farming with direct milk sales does not qualify under “Dairy (excluding farming),5, functioning governance ,2,Turnover <1M; sporadic records,2, Intermittent sales; weak channels; limited differentiation.,2,Vague plan; limited targets; unclear resourcing,2,Peripheral role; unclear node,3,Moderate inclusion; some intent on sustainability.,,Tier 1,100,40,40,40,40,60,10,8,8,10,6,6,48,0,48,386,
application_521_bundle.zip,Applicant_521, CS/985,Uasin Gishu,Dairy,Bank Statement,722555654,Pass,All Requirements met,5, functioning governance ,4,mostly stable; bank/Mpesa + one statement.,4,Consistent monthly orders; growing channels (incl. digital marketplaces); basic quality assurance.,3,"Direction clear; targets generic; budget rough.
",3,weak linkages; potential to upgrade.,3,Moderate inclusion; some intent on sustainability.,,Tier 1,100,80,80,60,60,60,10,16,16,15,9,6,72,0,72,148,Emmanuel
application_522_bundle.zip,Applicant_522,DSD/37/208/01/70847,Kakamega,Dairy,Bank Statement,700859669,Fail,Out of scop(e in value chain(dairy farming with direct milk sales does not qualify under “Dairy (excluding farming),3,Registered <1 yr; basic structure in place.,2,Turnover <1M; sporadic records.,2, Intermittent sales; weak channels; limited differentiation.,2,Vague plan; limited targets; unclear resourcing,2,Peripheral role; unclear node.,3,Moderate inclusion; some intent on sustainability.,,Tier 1,60,40,40,40,40,60,6,8,8,10,6,6,44,0,44,423,
application_523_bundle.zip,Applicant_523,BTR/DSD/SHG/8814/2012,Kakamega,Dairy,Bank Statement,719133360,Fail,Out of scop(e in value chain(dairy farming with direct milk sales does not qualify under “Dairy (excluding farming),5, functioning governance ,2," Turnover <1M; sporadic records.
",2,Intermittent sales; weak channels; limited differentiation,2,Vague plan; limited targets; unclear resourcing,2,Peripheral role; unclear node.,2, Low inclusion,,,100,40,40,40,40,40,10,8,8,10,6,4,46,0,46,406,
application_524_bundle (1).zip,Applicant_524,PVT/2016/001230,Kiambu,Textile,Invalid mpesa statement,722479985,Fail,Invalid mpesa statement,5,The cooperative is registered,0,no evidence since it is protected,3,consisitent sales,3,direction is clear,3,strongly aligned to the processing of clothes,5,strong gender participation,DQ1,,100,0,60,60,60,100,10,0,12,15,9,10,56,#N/A,0,520,
application_525_bundle.zip,Applicant_525, PVT-V7UD6VV,Kisumu,Construction,Bank Statement,700444222,Pass,All Requirements met,5, functioning governance ,2," Turnover <1M; sporadic records.
",2,Intermittent sales; weak channels; limited differentiation.,2,Vague plan; limited targets; unclear resourcing,2,Peripheral role; unclear node.,2, Low inclusion,,,100,40,40,40,40,40,10,8,8,10,6,4,46,0,46,406,Emmanuel
application_526_bundle.zip,Applicant_526,BN-ZMCLRZ2D,Makueni,Other,Bank Statement,726391659,Fail,Out of scope in value chain,5,"Legally registered, operated for more than 3 years ",3,strong turnover of between 12M-33M,4,"Detailed and realistic plan to expand production capacity, adopt modern equipment, and access supermarket distribution. Quantified investment plans in extraction, grinding, and soap-making machinery show strong vision",3,"Clear goals(expand bakery,invest in equipment), but lacks smart targets ",0,Not in priority VC,5,"Women-owned,youth engagement,use organic sprays, recycling waste from farming operations ",,Tier 2,100,60,80,60,0,100,10,12,16,15,0,10,63,0,63,230,
application_527_bundle.zip,Applicant_527,PVT-5JUPJ62,Kiambu,Textile,Bank Statement,715202844,Pass,All Requirements met,4,documented leadership; meeting cadence,3, stable or recovering; at least one statement,3,Regular local sales,3,"Direction clear; targets generic; budget rough.
",2,Peripheral role; unclear node.,2,"Low inclusion; ad-hoc green steps.
",,,80,60,60,60,40,40,8,12,12,15,6,4,57,0,57,296,Emmanuel
