,,"Eligibility Criteria
Decision Box – Eligibility
If any E1–E5 fails → mark INELIGIBLE; exclude from scoring.
If all pass → proceed to Primary Criteria scoring.",,,,,,,"Scoring Rubrics (0–5 anchors per criterion)
Choose the best-fit level per criterion.
Evidence Box – Financial
Accept: bank/M-Pesa PDFs, screenshots (machine-readable if possible), Excel exports, signed income summaries, simple stock/COGS ledgers.",,,,,,,,,,,, Disqualifiers & Penalties,TIERS,NORMALIZED SCORE,,,,,,WEIGHTED SCORING,,,,,,,COMPOSITE SCORE,,RANK,
application_KJET-20251231124433-VYGS_with_attachments_2026-01-13_21-35-55,Applicant_KJET-20251231124433-VYGS,2059,MERU,Dairy,,Yes,Yes,All eligibility criteria satisfied; cluster is eligible.,5,"Longstanding cooperative (established 1972, Reg No. 2059) with clear governance: Chairperson, Secretary, Manager, Treasurer. Membership growth (788 → 1074) and employees increasing (11 → 16). Over 50 years in operation demonstrates strong track record.",5,"Consistent revenue growth (KES 2.96M → 4.55M) and healthy profits (KES 2.53M → 3.44M) with supporting bank statements, income statements, balance sheets, cash flow, and QuickBooks accounting. Strong financial transparency.",4,"Operates mainly B2C (98%) via Meru Dairy Union and own milk bar. Competitors are informal milk sellers (“Soko Uhuru”). Competitive due to member support services, milk bar, and veterinary services, but B2B linkages limited.",4,"Clear growth target: increase daily milk from 11,000 → 30,000 litres by 2029. Needs BDS support for infrastructure (high-capacity cooler, digital scales, transport). Expansion plan plausible but dependent on external support.",5,"Fully integrated in dairy value chain: milk aggregation, chilling, vet services, feed supply, milk bar, value addition plans. Critical role for members’ productivity and income.",5,"Women-owned enterprise (6/10 committee members are women), sustainable practices: tree planting, banning plastic milk cans, environmental stewardship in operations.",,,100,100,80,80,100,100,10,20,16,20,15,10,91,0,91,11,
application_KJET-20251231134210-JUGG_with_attachments_2026-01-13_21-35-52,Applicant_KJET-20251231134210-JUGG,MC/3015/2022,MERU,Dairy,,Yes,Yes,All eligibility criteria satisfied; cluster is eligible.,4,"Registered as a Self-Help Group (MC/3015/2022) in 2022, relatively new with only 2–3 years of operations. Leadership is in place (Chairperson, CEO, Secretary, Treasurer), but shorter track record limits demonstrated sustainability.",3,"Revenue growth from KES 500,000 → 900,000 and profits from KES 300,000 → 750,000. Solid for early-stage SHG but absolute values are modest; financial systems exist (QuickBooks, M-Pesa records).",4,"Provides maize silage chopping, packaging, and storage services to small and medium dairy farmers. Organized group delivery, youth-led labor, bundled services, and reliable scheduling differentiate them from informal competitors.",4,"Clear operational, financial, and employment targets. Expansion plan includes additional silage chopper, tractor, packaging improvements, and digital record-keeping. BDS support needed for machinery access and formalization.",4,"Operates at processing and service delivery stages of the livestock feed value chain, serving smallholder farmers and cooperatives. Provides labor and mechanization services that improve efficiency and reduce post-harvest loss.",4,"Women ownership >20%, youth employment focus, sustainable practices include climate-resilient silage storage, efficient fodder use, eco-friendly packaging, and local sourcing.",,,80,60,80,80,80,80,8,12,16,20,12,8,76,0,76,19,
application_KJET-20251231155358-BTQI_with_attachments_2026-01-13_21-35-49,Applicant_KJET-20251231155358-BTQI,CPR/2012/73321,MERU,Construction Materials,,Yes,Yes,All eligibility criteria satisfied; cluster is eligible.,4,Legally registered since 2012; consistent operation; partnerships (Post Modern Farms).,5,"Revenue growth from 5M → 10M KES (2022–2024), profit growth from 4M → 8.7M KES; stable and positive cashflow.",4,"Strong B2C (85%) and B2B (15%); differentiated by automation, QC, and digital monitoring; faces competition but has clear advantage.",5,"Clear expansion plans: automation, ERP, storage/logistics improvements; MOUs with clients; sustainability of growth credible.",5,"Backward linkages with steel mills & importers; forward linkages to wholesalers, retailers, industrial clients. Fully integrated.",5,"Women-majority leadership; green practices implemented: recycling, energy-efficient machines, digital monitoring, compliance with OSHA and KEBS.",,,80,100,80,100,100,100,8,20,16,25,15,10,94,0,94,7,
application_KJET-20251231161224-FBS2_with_attachments_2026-01-13_21-35-40,Applicant_KJET-20251231161224-FBS2,CS10679,MERU,Coffee,,Yes,Yes,All eligibility criteria satisfied; cluster is eligible.,5,"Established in 2005 with over 19 years’ operation; growing membership (3,145 → 3,338); audited governance structure.",4,Strong revenues (KES 42M–56M) but declining profit margin in 2024; financial records submitted.,4,Stable demand via Nairobi Coffee Exchange; competes with cooperatives and estates; quality-driven approach.,4,"Clear modernization plan (storage, pulping machines, drying beds); export expansion strategy under development.",5,"Fully integrated in Coffee value chain—procurement, processing, marketing; strong farmer linkages.",4,"Women-owned (600 women members); climate-smart agriculture, agroforestry, water harvesting practices.",,,100,80,80,80,100,80,10,16,16,20,15,8,85,0,85,12,
application_KJET-20260101132631-4WM8_with_attachments_2026-01-13_21-35-34,Applicant_KJET-20260101132631-4WM8,CPR/2012/66859,MERU,Edible Oils,,Yes,Yes,All eligibility criteria satisfied; cluster is eligible.,5,Registered since 2012; consistent employment growth (15 → 26 employees); structured leadership; uses Zoho Books.,5,Strong and growing revenues (KES 54.8M → 65M) and stable profits (~KES 8.4M → 9.75M); healthy 10–33% margins; financial statements submitted.,4,100% B2B model with institutional and trade buyers; strong raw material network; competition from agro-processors but clear value proposition (shared processing & contract farming).,5,"Clear 2–3 year expansion plan (new machinery, solar, diversification into oils, avocado oil, coffee, rice); quantified performance targets; job creation (50–150 direct jobs).",5,Strong backward linkages (contracted farmers across 4 counties); processing & value addition; structured market expansion strategy.,5,"Youth-focused expansion (6,000 youth target, 70% women); regenerative agriculture; solar energy plans; by-product utilization (oil cake to feed); climate-smart agriculture.",,,100,100,80,100,100,100,10,20,16,25,15,10,96,0,96,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIGORI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application_KJET-20251220130556-JAE2_with_attachments_2026-01-13_21-55-17,Applicant_KJET-20251220130556-JAE2,CS/29897,MIGORI,Minerals,,no-mpesa statement given although it is locked.,yes- phone number and email address have been given.,Registered Cooperative (CS/29897) since 2024 dealing with mining of gold and selling it potential buyers.They have also given an mpesa statement although it is locked,3,"Very young cooperative, established in 2024. While they show rapid member growth, they lack a long-term operational history. They have a structured governance comprising of chairperson,secretary,treasurer,CEO,directors.",0,Since their mpesa statement is locked we can not tell their transactions hence the rate 0,3,"They have a clear B2B model (100%), selling to authorized government marketing agents to bypass exploitative middlemen. This strategy professionalizes the artisanal sector in Migori, they do not have any knowledge of online trade.",3,"The proposal seeks heavy machinery, While these are essential for ""Value Addition"" in mining, the costs listed (approx. KES 1M for a compressor) may exceed individual cluster grant caps and require a more detailed technical feasibility study,they did not clearly list the risk involved in all this investment.",4,They mine and also buy from local miners the gold and sell them to the goverment for processing which is their largest buyer which clearly shows linkage between local miners and the processers(the government),5,"62.5% of the 240 members are women, and 58% are youth. This is exceptionally rare for the mining sector, which is traditionally male-dominated. Their commitment to NEMA guidelines and reforestation of degraded mine sites is excellent.",P2,,60,0,60,60,80,100,6,0,12,15,12,10,55,3,52,8,
application_KJET-20251222194415-4DPG_with_attachments_2026-01-13_21-55-14,Applicant_KJET-20251222194415-4DPG,35080407,MIGORI,OTHER,cyber work,no-mpesa statement given although it is locked.,yes- phone number and email address have been given.,Registered as a Cyber Cafe/Other (35080407) since 2022 that deals with ict services,2,"Established in 2022. It is a young, sole-proprietorship-style business rather than a collaborative cluster or cooperative it does not have a basic structured it is  single handed operated",0,Mpesa statement given is locked so we can not verify their financial statement.,1,"Very vague descriptions. Claims 60% of sales are exports, which is highly unlikely for a local village cyber cafe in Ntimaru unless they are doing remote digital freelancing, which was not specified",1,"The proposal is simply ""Lack of enough computers."" It lacks a strategic plan on how more hardware would integrate into the local economic value chains. and it doesnt have the budget for the said computers ",0,No mention of how this ICT business supports the priotitised VC and hence no connection with the VC we are looking at.,1,"Not women owned,no female worker,no youth participation and no any kind of greeen practices listed.It is a 1 man business",P2,,40,0,20,20,0,20,4,0,4,5,0,2,15,3,12,12,
application_KJET-20251223125207-YUCF_with_attachments_2026-01-13_21-55-05,Applicant_KJET-20251223125207-YUCF,PVT-LRU5GXL,MIGORI,Coffee,,yes-bank statement attached,yes- phone number and email address have been given.,Private Company (PVT-LRU5GXL) registered in 2018  that deals with coffee testing and processing,5,"Operating since 2018 (8 years). They have a proven history of delivering consultancy and training services to NGOs, County Governments, and farmer groups, they have a well organised leadership strructure all the way from CEO to Treasurer",1,The transaction costs in the bank statement given are not visible enough so i can not tell the exact amount is transited hence can not tell the actuall Turn Over,3,"Strong market positioning. They differentiate through Regenerative Coffee Production and specialized QC services (cupping/moisture analysis). Their B2B (58%) and B2C (42%) split shows a balanced revenue stream,they are yet to introduc online marketing.",3,"The investment plan for a modern QC lab, automated packaging, and IoT sensors for storage shows a clear path toward professionalizing the Migori coffee sector the problem is they did not clearly sate what their budget is.",5,"They address critical ""Missing Middle"" services in the coffee chain: quality testing, traceability, and regenerative production training",5,"They are pioneers in Syntropic Farming and Agroforestry for coffee. The leadership is 80% women-led (including CEO and Treasurer), exceeding all gender inclusivity benchmarks.",,,100,20,60,60,100,100,10,4,12,15,15,10,66,0,66,3,
application_KJET-20251224120927-IFP5_with_attachments_2026-01-13_21-55-02,Applicant_KJET-20251224120927-IFP5,cs/5474,MIGORI,Dairy,,yes- a balne sheet and cash book have been submitted as proof,yes- phone number and email address have been given.,Registered Cooperative (CS/5474) since 1988 deals with buying milk from local farmers and taking it to processing,5,"Established in 1988. This is one of the most established cooperatives in the region, demonstrating long-term institutional stability and community trust and it also has a structured governance(chaiperson,secretary,treasurer)",3,The cash book shows a drop of income in 2024 the Turn Over was KSH1985760 while in 2025 the Turn Over was KSH1620652 this shows the business experienced a very significant loss. The turn over was more than 1M,3,"Strong B2B focus (80%). They have successfully identified their niche in institutional markets. Their price margins for value-added products like Yogurt (35%) and Mala (30%) are healthy, but they need to shift more of their volume into these categories to offset raw milk competition and also start selling their yoghurt and mala online",3,"The proposal to invest in Bulk Milk Coolers , solar-powered cooling, and a refrigerated delivery vehicle addresses their ""Problem Statement"" directly. The inclusion of digital solutions for farmer payments is a critical step toward modernization.The only problem is they did not ive the exact budget needed for all this to be met.",5,"Complete vertical integration. They handle procurement, processing (Yogurt/Mala), and distribution.It is a complete circle with both upstream and downstream linkages.",5,54% female membership and a strong youth component (693 members aged 18–35). Their Green Initiatives—recycling whey into animal feed and pilot solar cooling—are industry best practices for the Blue/Green Economy,,,100,60,60,60,100,100,10,12,12,15,15,10,74,0,74,2,
application_KJET-20251226150330-CSYO_with_attachments_2026-01-13_21-54-59,Applicant_KJET-20251226150330-CSYO,C5/20389,MIGORI,Coffee,,No- Did not give any financial evidence,yes- phone number and email address have been given.,Cooperative (C5/20389) established in 2016 that deals with coffee planting and buying from local farmers and send it to processing.,5,"Operating since 2016. This 10-year track record indicates significant institutional maturity and successful navigation of the coffee regulatory environment in Kenya and it also has an organised structure(chairperson,secretary,treasurer)",0,The association did not give any financial proof of their yearly transaction hence we can not proof their financial position,3,"80% B2B sales primarily to the Nairobi Coffee Exchange. Their Organic and Regenerative branding gives them a major competitive edge in the specialty coffee market, which attracts higher premiums than conventional coffee their only problem is they havent started doing online sells.",3,"The request for Modern Coffee Pulping Equipment is logical. Upgrading from basic pulping to eco-pulpers would reduce water usage and improve bean quality.

The proposal is slightly thin on specific Operational Enhancements but clear on the need for capital to upscale.Another thing they did not  state is their budget of all the equipments that they would like to buy.",5,Well-aligned. They cover the full spectrum from seedling provision and capacity building to primary processing (pulping) and marketing green beans.They also carry out the whole upward and downward stream since they interact eith the local farmers and their final buyers for the processed coffee.,5,51% women-owned/led.hey are actively practicing Regenerative Farming and Riverbank Restoration (River Nyasore). The Forest Coffee model is one of the highest forms of climate-smart agriculture,P2,,100,0,60,60,100,100,10,0,12,15,15,10,62,3,59,6,
application_KJET-20251226173154-28YA_with_attachments_2026-01-13_21-54-52,Applicant_KJET-20251226173154-28YA,CS/30073,MIGORI,Textiles,"Deals with bananas(making crisps,fibre and eco bags)",no-bank statement with few transactions attached,yes-phone number and email address are given,Registered Cooperative (CS/30073) established in 2024 that deals with banana products production.,3,"Formally registered in 2024. While they have rapid growth, they lack the multi-year institutional history of older cooperatives (3 years and above). They are in the ""High-Growth Startup"" phase.",1,"The bank statement given only has transactions for the first 4 months of the year 2025 ,these traansactions are too little to position this group financially since the requirement was atleast a 1 year transaction.",3,"They are targeting high-growth niche markets: Gluten-free flour, Eco-bags, and—most notably—Banana Fibre for Hair Extensions. This is a brilliant strategic move to disrupt the synthetic hair market with a sustainable, locally-sourced alternative.",3,"Their plan to utilize 100% of the banana plant (fruit for food, stem for fiber, waste for compost) is a model of the ""Circular Economy."" Their specific equipment list (decorticators, fermentation tanks, oil filtration) is technically precise and well-justified.Their only problem is they do not have any documented budget in the records.",5,"They address every stage of the KJET priority areas: aggregation, primary processing, high-value manufacturing, and niche market branding.They have both the upstream and downstream linkages.The only problem is they are dealing with banana products which does not fall in any VC.",5,"60% women members with active leadership in management and procurement committees. Their ""Environmental Stewardship"" is baked into their business model through the replacement of synthetic hair and plastic bags with banana fiber products",,,60,20,60,60,100,100,6,4,12,15,15,10,62,0,62,5,
application_KJET-20251227115828-OPXO_with_attachments_2026-01-13_21-54-50,Applicant_KJET-20251227115828-OPXO,108111/2012,MIGORI,Dairy,,yes-attached a bank statement,yes-phone number and email address are given,Registered Self-Help Group (108111/2012) since 2012 thatndeals with dairy activities.,5,"Operating since 2012 with a working leadership(chairperson,secretary,treasurer)",1,"The bank statement only shows the transactions for 1st,2nd,3rd december of 2024 ,these transactions are too few to position this group finaancially since they were required to atleast submit a 1 year transaction history.",3,They have a clear understanding of their local market (B2C) and the competition from branded dairy companies. Their competitive edge is freshness and community ties. Their ghee product (KES 400 per 250ml) is a high-margin value-add,3,"The request for a milk cooling unit, chaff cutters, and mala/yogurt processing units is the perfect ""next step"" for a group of this size. Moving from raw milk to value-added products (Yogurt/Mala) will double their margins",4,"Strongly aligned. They are addressing the ""Support Service"" and ""Processing"" gaps in the Nyatike dairy sector",5,"80% youth (16/20 members) and 70% women (14/20). Their sustainability practices are highly articulated: Zero-grazing, Fodder conservation  and Solar lighting",,,100,20,60,60,80,100,10,4,12,15,12,10,63,0,63,4,
application_KJET-20251227125601-NYSM_with_attachments_2026-01-13_21-53-10,Applicant_KJET-20251227125601-NYSM,PVT_6LUK2A6Y,MIGORI,Dairy,,yes-A SEP and DEC bank statement attached,yes-phone number and email address are given,Private Company (PVT_6LUK2A6Y) established in 2022 that deals with dairy feeds production and fish feeds production.,4,"Regestered since 2022(3 years in operation) with a very structured leadership(chairperson,secretary,treasurer)",1,The bank statement given only has transactions for Sep and Dec only.This transactions are too few to know the financial position of the group.,3,"They are competing with giants like Unga Limited by offering ""Last-Mile"" convenience. Their unique value proposition—allowing farmers to bring their own raw materials for custom milling—is a highly effective strategy for the rural Migori context.They do not havee any online store selling.",3,"The plan to expand into Poultry, Fish, and Rabbit feeds is perfectly timed. Migori's Blue Economy needs local, affordable fish pellets to be viable. Their request for ""appropriate equipment"" to replace low-capacity 10HP machines is technically sound but the only problem is they do not have the actual budget needed for the machinery.",2,"They are a Value Chain Enabler, Without local feed centers like this, the Dairy and Blue Economy sectors in Suna West would remain dependent on expensive imports from Nakuru or Nairobi, though the linkage is peripheral",5,"50% Women-owned. Their Green Initiative is a standout: they are actively working to transition farmers away from Tobacco (which degrades soil and requires high wood-fuel for curing) toward Soya and Sunflower, which are nitrogen-fixing and environmentally friendly",,,80,20,60,60,40,100,8,4,12,15,6,10,55,0,55,7,
application_KJET-20251229110432-PUC1_with_attachments_2026-01-13_21-54-46,Applicant_KJET-20251229110432-PUC1,NTK/CBO/026/2014,MIGORI,Edible Oils,,yes-A bank statement is given,yes-phone number and email address are given,MSME Association/CBO (NTK/CBO/026/2014) since 2014 that deals with processing of sunflower seeds in to sunflower oil.,5,"12 years of operation since 2014. This indicates long-term resilience and deep-rooted community trust in Nyatike and it also has well structured leadership role(chairperson,secretary,treasurer)",5,"The balance as at the end of the bank statement is KSH57,031,281 which is a very good turn over since it is above the 10M threshhold",3,"They have a high B2C capture (97%), meaning they are the primary oil source for their local community. By selling 100% of their finished oil locally, they bypass high distribution costs and tap into the national trend of rising cooking oil prices , the only problem they have is that they do not have any online store",3,"Their biggest bottleneck is the ""Third-Party Dependency"" for oil extraction at Kiranda. The proposal to purchase an in-house oil press and filtration equipment will allow them to capture the 25–30% value-addition margin they currently share with contractors and another problem is they have no any working budget neither do they have any accounted budget.",5,Fully integrated. They manage everything from land preparation and cultivation (60% turnover) to processing and retail sales,5,"61% of members are youth (48/78) and 56% are women. Their ""Circular Economy"" approach—reusing seed husks for animal feed and organic compost—is an industry gold standard for sustainability",,,100,100,60,60,100,100,10,20,12,15,15,10,82,0,82,1,
application_KJET-20251230223405-8763_with_attachments_2026-01-13_21-54-40,Applicant_KJET-20251230223405-8763,C/S28848,MIGORI,OTHER,Supporting members through agricultural line of credit,No-Did not give any financial evidence so we can not tell their daily transactions,yes-phone number and email address are given,Registered Cooperative (C/S28848) established in 2023 and deals with supporting  members through agricultural line of credit,4,"Established in 2023.(3 years of existence) and have a well structured leadership(chairperson,secretary,treasurer)",0,There was no no any financial statement given by the association so we can no t tell their transaactions.,3,"They address a massive local gap: access to credit for smallholders. Their competitive advantage is ""Local Context"" and ""Low Interest Rates"" compared to mainstream banks. Their pivot toward tomato cold storage is highly strategic given the perishability of the crop in Nyatike",3,"The proposal to move from pure credit into Poultry Feed Formulation and Cold Storage is a logical vertical integration. This transforms them from a simple lender into a value-chain aggregator,their only problem is they do not know exactly how much is neded for the transition.",2,"They act as an enabler for multiple value chains (Tomatoes, Poultry). While they selected ""Other,"" their actual impact supports the Dairy (feed) and Horticulture (tomatoes) sectors through giving them funds.",5,"64% of their members are youth (18–35), and 63% are women.  Their use of solar energy and Farm Managed Natural Regeneration for sustainability is highly commendable.",P2,,80,0,60,60,40,100,8,0,12,15,6,10,51,3,48,11,
application_KJET-20251230224407-TMMM_with_attachments_2026-01-13_21-54-37,Applicant_KJET-20251230224407-TMMM,CS/23226,MIGORI,Coffee,,yes-a ledgerbook is given as the financial statement,yes-phone number and email address are given,Registered Cooperative (CS/23226) established in 2018 focusing in coffee planting and processing.,5,"Established in 2018. A 7-year track record shows stability and experience in organizing Kuria coffee farmers with a very organised leadership structure(chairperson,secretary,treasurer,manager)",3,"Turn over in NOV 2025 IS KSH1173300 which is a drop compared to that of JUNE 2025 which was KSH 2,031,462 shown in the ledger book,the statement also shows that the loss is recovering",2,"Very vague responses (""Well measured,"" ""To sell out sides Kenya""). While coffee has high demand, the cooperative failed to describe its specific market channels, buyer types, or how it competes with larger millers",1,"The application lacks a clear investment plan. Under ""critical equipment,"" they listed ""Pucking and selling"" (likely meant ""plucking""). There is no mention of pulping machines, drying beds, or moisture meters which are essential for coffee quality.",2,"They are aligned with the coffee sector, but their activity description is minimal (""coffee market and togetherness""). They need to define if they are aggregators of cherry or if they handle primary processing",4,"68% of the 489 members are women. They also have a significant number of youth and elderly members. Their commitment to ""Tree seedlings planting"" aligns with green initiatives, though it lacks detail",,,100,60,40,20,40,80,10,12,8,5,6,8,49,0,49,10,
application_KJET-20260101001341-4IRV_with_attachments_2026-01-13_21-54-35,Applicant_KJET-20260101001341-4IRV,CPR/2015/204472,MIGORI,OTHER,"Deals with baking foods such as cakes,bread",yes-a 6 month bank statement is given ,yes-phone number and email address are given,Private Company (CPR/2015/204472) registered in 2015 that  deals with baking of cakes and breads,5,"Operating since 2015 (11 years). This is a highly mature enterprise with a solid operational footprint in Migori with a leadership structure(CEO,Director,Manager)",1,The bank statement only has transaction for 6 months and they were required to atleast have a 12 month transaction,3,Excellent market penetration. Supplying to Chandarana (B2B) and Tushop (B2C) proves they meet high-tier retail standards. Their gluten-free niche is high-growth and high-margin but they do not have any online store shop.,3,The plan to add Pellet Mills for fish feed and Oil Expellers creates a circular economy. They will process soya for oil and use the residual cake for high-protein fish feed. They have a good plan the only problem is that they do not have a working budget so we can not tell the exact amount needed.,0,Their main activities is baking pastries which is not in any of the mainy VC we are dealing with,5,"75% Women-owned. They focus on drought-tolerant crops (cassava/sorghum) and are moving toward solar drying, which is essential for reducing aflatoxin risks and energy costs",,,100,20,60,60,0,100,10,4,12,15,0,10,51,0,51,9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOMBASA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application_KJET-20251217125428-RA8R_with_attachments_2026-01-15_15-56-44,Applicant_KJET-20251217125428-RA8R,DSD/LKN/CD/2020/000118,MOMBASA,Blue Economy,,Yes,Yes,All requirements met,5,Registered in 2020 and has active leadership,2,Turnover is less than 1M,3,"Has 2 channels, ",3,"Has a clear plan, with no budget",4,"Active in procurement, processing and distribution within Blue Economy.",4,20% women; multiple green practices mentioned.,,,100,40,60,60,80,80,10,8,12,15,12,8,65,0,65,5,
application_KJET-20251218093500-FMJQ_with_attachments_2026-01-15_15-56-37,Applicant_KJET-20251218093500-FMJQ,BN/2013/211155,MOMBASA,Construction Materials,,Yes,Yes,All requirements met,4,"Registered as sole proprietorship, since 2013",3,"Turnover is 1M - 4M, with stable financials",3,Completed multiple residential projects; 100% B2C; no digital channels.,3,Clear phased growth plan but no detailed budget,4,Active in construction service delivery with local supplier linkages.,3,Minimal female participation (manager only); several green practices mentioned.,P1,,80,60,60,60,80,60,8,12,12,15,12,6,65,5,60,7,
application_KJET-20251218131819-PYKL_with_attachments_2026-01-15_15-56-33,Applicant_KJET-20251218131819-PYKL,PVT-LRUY9M99,MOMBASA,OTHER,General logistics,No,Yes,The priority value chain and the description doesn't match; finances are only for 4 months,5,"Registered since 2020, with functionaning governance",2,"Turnover is less than 1M, with fluctuating revenues",3,"Active B2B, B2C and export clients; no formal contracts or documented agreements.",3,Clear expansion target (Nairobi) but no costed budget.,3,Provides logistics support services within Blue Economy; indirect value chain role.,4,34% female ownership; basic recycling practices mentioned.,P1,,100,40,60,60,60,80,10,8,12,15,9,8,62,5,57,9,
application_KJET-20251220160031-GJC8_with_attachments_2026-01-15_15-56-30,Applicant_KJET-20251220160031-GJC8,PVT-Y2U55JV,MOMBASA,OTHER,poultry production and input distribution.,Yes,Yes,All requirements met,5,"Registered since 2021, and have clear leadership structure",2,Turnover is below 1M with marginal annual growth (504K → 528K),4,"Clear B2B/B2C segmentation, with use of digital tools",4,"A 3-year phase expansion plan (EC housing, cold chain, IoT); structured KPIs, but with no detailed budget provided.",3,Strong internal value chain integration (input distribution + production + retail) but sector classified as non-priority.,5,"100% women-owned; multiple documented green initiatives (solar, composting, rainwater harvesting, biogas).",,,100,40,80,80,60,100,10,8,16,20,9,10,73,0,73,2,
application_KJET-20251222123156-FASC_with_attachments_2026-01-15_15-56-25,Applicant_KJET-20251222123156-FASC,BN-93SQ7D8M,MOMBASA,Blue Economy,,No,Yes,The financials are only for 4 months,3,"Registerd in 2025, with basic leadership in place",1,Minimal transactions from August to October 2025,2,"Claims 60% B2B and MOUs with cooperatives, but no verified sales",3,"Clear circular economy model with BSF technology, but with no budget",3,"Priority VC (Blue Economy), waste-to-value processing role, weak market linkages",5,"51% woman-owned with female CEO, green jobs focus, 4+ documented green practices",P1,,60,20,40,60,60,100,6,4,8,15,9,10,52,5,47,16,
application_KJET-20251223151937-VQWR_with_attachments_2026-01-15_15-56-21,Applicant_KJET-20251223151937-VQWR,DSD/1/5/02/119529,MOMBASA,OTHER,"community health and WASH (Water, Sanitation and Hygiene) services",No,Yes,The financial statement is very thin,3,"Registered in 2025, with basic structure in place",1,Very mininal transaction evidence,2,"Grant-dependent revenue model, 80% B2C through household visits, weak commercial channels",3,"Clear targets for household reach and disease reduction, lacks detailed budget",0,"Not in priority value chain (health/WASH services, not Blue Economy)",0,No evidence on women-led criteria,,,60,20,40,60,0,0,6,4,8,15,0,0,33,0,33,20,
application_KJET-20251224181820-DRDT_with_attachments_2026-01-15_15-56-17,Applicant_KJET-20251224181820-DRDT,BN_EZC9JZY,MOMBASA,OTHER,"Specializes in processing nutrient-rich, gluten-free grains and seeds.",No,Yes,The financials are only for one month,5,"Registered 2019, 6 years operational, documented leadership with 6 officers",2,Turnover is less than 1M,4,"75% B2B with schools/hospitals/NGOs, growing channels, no digital presence yet",5,"Detailed expansion plan with costed equipment needs, SMART targets, risk mitigation strategies",0,Not in priority value chain (specialty flour processing with sorghum/amaranth/baobab),5,"51% woman-owned, 10+ documented green practices",,,100,40,80,100,0,100,10,8,16,25,0,10,69,0,69,4,
application_KJET-20251225201557-DLRJ_with_attachments_2026-01-15_15-56-07,Applicant_KJET-20251225201557-DLRJ,DSD/1/3/02/165719,MOMBASA,Blue Economy,,Yes,Yes,All requirements met,5,"Registered in 2019, 6 years operational, documented governance with monthly and quarterly reviews",3,Turnover is less than 1M,3,"65% B2C community services, growing institutional interest, one primary channel",3,"Clear conservation and livelihood objectives, lacks detailed budget",4,"Priority VC (Blue Economy), waste-to-value processing, documented community and institutional linkages",5,"51% of leadership owned by women, 7+ documented green practices",,,100,60,60,60,80,100,10,12,12,15,12,10,71,0,71,3,
application_KJET-20251225210308-EHUQ_with_attachments_2026-01-15_15-56-02,Applicant_KJET-20251225210308-EHUQ,107852,MOMBASA,Edible Oils,,No,Yes,Very minimal transactions,3,"Registered in 2025, with basic structure in place",1,Very mininal transaction evidence,1,"100% B2C to group members and local community, no digital channels",2,"Aspirational expansion plans (export, digital marketing), no detailed budget",2,"Priority VC (Edible Oils), processing role but peripheral, unclear node position",4,"100% women-owned, with high youth participation, 1 documented green practice",,,60,20,20,40,40,80,6,4,4,10,6,8,38,0,38,18,
application_KJET-20251226225538-0HM6_with_attachments_2026-01-15_15-55-59,Applicant_KJET-20251226225538-0HM6,PVT-AVESZ2R,MOMBASA,Blue Economy,,Yes,Yes,All requirements met,3,"Registered in 2025, with basic structure in place",2,Turnover is less than 1M,3,"50% B2B with recyclers, regular sales, one primary channel (waste aggregation)",2,"Vague expansion targets (1000 clients, 100 youth), unclear resourcing and budget",4,"Priority VC (Blue Economy), aggregation node for marine waste, documented recycler linkages",3,"70% women-owned, with a plan of introducing 3face solar for machines",,,60,40,60,40,80,60,6,8,12,10,12,6,54,0,54,12,
application_KJET-20251227174023-JYEN_with_attachments_2026-01-15_15-55-56,Applicant_KJET-20251227174023-JYEN,PVT-5JUE85YD,MOMBASA,Construction Materials,,Yes,Yes,All requirements met,4,"Registered in 2023, with well documented leadership structure",3,"Turnover is 1M, with stable financials",2,"Claims B2B client (MSF), but 70% B2C residential, weak channels",3,"Clear SMART targets and equipment plan, but generic budget ",3,"Priority VC (Construction), general contractor role, weak documented linkages",5,"70% women-owned with female CEO, 5+ documented green practices",,,80,60,40,60,60,100,8,12,8,15,9,10,62,0,62,6,
application_KJET-20251227201249-QG42_with_attachments_2026-01-15_15-55-52,Applicant_KJET-20251227201249-QG42,PVT-XYU8D5KP,MOMBASA,Blue Economy,,No,Yes,Locked financials,4,"Registered in 2023, with well documented leadership structure",0,Locked financial documents,4,"100% B2B with recyclers and manufacturers, growing channels, MOUs in progress",4,"Strong SMART targets with detailed equipment plan, minor gaps in budget specifics",4,"Priority VC (Blue Economy), aggregation and processing node, some documented linkages",2,"Low female inclusion, with 6+ green initiatives",P2,,80,0,80,80,80,40,8,0,16,20,12,4,60,3,57,9,
